timestamp,phase_time,phase,ch1,ch2,ch3,ch4,ch5,ch6
1756458866.7665858,0.7181580066680908,baseline,83104.76,32087.27,71650.12,85858.05,50722.45,64623.54
1756458866.7700162,0.7215883731842041,baseline,82985.94,31838.63,71454.05,85767.93,50469.25,65289.26
1756458866.7745035,0.7260756492614746,baseline,82993.72,31753.6,71357.49,85766.32,50384.76,65677.65
1756458866.777927,0.729499101638794,baseline,83106.37,31885.03,71440.64,85848.4,50519.14,65456.63
1756458866.7824125,0.7339847087860107,baseline,83231.1,32145.47,71657.63,85955.68,50796.48,64691.13
1756458866.785836,0.7374081611633301,baseline,83102.89,32081.37,71654.68,85856.44,50716.02,64649.56
1756458866.7903178,0.7418899536132812,baseline,82989.7,31841.31,71458.34,85773.56,50471.4,65310.18
1756458866.7937362,0.7453083992004395,baseline,82990.77,31748.77,71359.37,85768.47,50391.47,65685.43
1756458866.798218,0.7497901916503906,baseline,83110.93,31887.18,71444.4,85850.54,50523.16,65456.36
1756458866.801635,0.7532072067260742,baseline,83231.36,32144.4,71660.05,85959.17,50804.53,64686.57
1756458866.8061097,0.7576818466186523,baseline,83102.62,32078.69,71660.31,85851.35,50713.33,64666.99
1756458866.8095274,0.7610995769500732,baseline,82985.94,31829.51,71459.15,85758.81,50454.5,65338.08
1756458866.8140156,0.7655878067016602,baseline,82987.28,31733.48,71356.69,85754.52,50374.3,65701.79
1756458866.818495,0.7700672149658203,baseline,83113.35,31882.88,71443.32,85841.69,50516.73,65462.8
1756458866.8219104,0.7734825611114502,baseline,83235.39,32144.13,71658.97,85948.17,50796.48,64688.98
1756458866.8263917,0.7779638767242432,baseline,83107.98,32080.29,71653.61,85842.23,50706.9,64667.79
1756458866.8298075,0.7813796997070312,baseline,82992.11,31833.53,71459.15,85752.1,50454.5,65340.49
1756458866.8342857,0.7858579158782959,baseline,82992.38,31738.85,71365.54,85745.94,50372.16,65718.42
1756458866.8377028,0.7892749309539795,baseline,83117.1,31882.88,71452.44,85834.18,50510.56,65473.26
1756458866.8421788,0.7937510013580322,baseline,83237.8,32146.28,71662.73,85945.49,50796.21,64690.86
1756458866.8455918,0.7971639633178711,baseline,83108.79,32077.61,71650.39,85843.3,50707.7,64672.35
1756458866.8500793,0.8016514778137207,baseline,83000.69,31843.46,71450.3,85762.57,50464.42,65324.67
1756458866.8536513,0.8052234649658203,baseline,83011.42,31766.48,71361.25,85760.15,50384.23,65691.06
1756458866.8581407,0.8097128868103027,baseline,83129.44,31901.93,71453.78,85844.91,50527.46,65446.17
1756458866.8626208,0.8141930103302002,baseline,83251.21,32164.25,71665.68,85956.22,50810.43,64666.19
1756458866.8660378,0.8176100254058838,baseline,83111.74,32082.71,71658.44,85840.89,50706.63,64679.33
1756458866.870524,0.8220961093902588,baseline,82995.87,31829.24,71466.12,85753.45,50450.75,65364.36
1756458866.8739378,0.8255100250244141,baseline,82996.94,31738.31,71373.32,85745.13,50369.47,65729.41
1756458866.8784187,0.8299908638000488,baseline,83113.88,31877.52,71461.29,85825.33,50508.68,65479.43
1756458866.881835,0.8334071636199951,baseline,83234.32,32137.96,71672.12,85934.76,50785.75,64707.76
1756458866.8863125,0.8378846645355225,baseline,83103.42,32065.01,71654.68,85830.43,50688.39,64719.29
1756458866.8897278,0.8413000106811523,baseline,82995.87,31825.75,71456.47,85749.96,50444.31,65388.24
1756458866.894209,0.8457810878753662,baseline,83001.77,31739.92,71365.54,85747.81,50371.89,65743.63
1756458866.8976266,0.8491988182067871,baseline,83130.78,31897.9,71458.34,85844.91,50530.41,65470.85
1756458866.902104,0.8536760807037354,baseline,83246.65,32158.08,71674.8,85948.98,50810.7,64702.66
1756458866.9065857,0.8581578731536865,baseline,83109.32,32071.98,71652.54,85837.67,50702.87,64723.32
1756458866.9099991,0.8615713119506836,baseline,83007.13,31834.6,71453.25,85759.08,50459.33,65385.02
1756458866.914552,0.866124153137207,baseline,83020.01,31762.18,71365.81,85762.57,50393.61,65725.12
1756458866.9179714,0.8695435523986816,baseline,83139.63,31906.76,71466.39,85853.22,50547.04,65459.58
1756458866.9224484,0.8740205764770508,baseline,83250.94,32159.69,71683.65,85954.08,50819.01,64696.76
1756458866.9258668,0.877439022064209,baseline,83115.49,32075.47,71667.82,85842.23,50704.48,64740.75
1756458866.9303505,0.881922721862793,baseline,83007.13,31827.9,71471.75,85759.88,50454.77,65415.86
1756458866.9337862,0.8853583335876465,baseline,83012.5,31745.55,71380.29,85757.74,50382.62,65759.99
1756458866.938271,0.889843225479126,baseline,83138.29,31896.03,71479.8,85845.71,50533.09,65494.18
1756458866.9416883,0.8932604789733887,baseline,83247.19,32143.86,71695.99,85942.54,50801.58,64741.82
1756458866.9461708,0.8977429866790771,baseline,83105.03,32050.52,71670.77,85825.06,50682.49,64802.17
1756458866.9506717,0.9022438526153564,baseline,83003.11,31813.95,71475.24,85752.37,50440.02,65483.19
1756458866.9541216,0.905693769454956,baseline,83019.47,31745.82,71390.48,85759.35,50381.01,65823.56
1756458866.9586017,0.9101738929748535,baseline,83139.36,31897.1,71489.19,85846.52,50536.04,65546.49
1756458866.9620216,0.9135937690734863,baseline,83245.58,32143.33,71704.57,85942.01,50801.85,64796.27
1756458866.9664998,0.918071985244751,baseline,83105.57,32051.86,71672.38,85828.28,50684.63,64851.53
1756458866.969915,0.9214870929718018,baseline,82998.55,31814.76,71472.56,85748.62,50440.02,65523.42
1756458866.9743938,0.9259660243988037,baseline,83011.16,31742.34,71387.8,85751.84,50375.38,65860.04
1756458866.9778104,0.9293825626373291,baseline,83138.02,31894.95,71481.14,85848.4,50537.11,65563.12
1756458866.982293,0.9338650703430176,baseline,83247.46,32152.71,71693.04,85950.05,50813.92,64785.81
1756458866.9857085,0.9372806549072266,baseline,83105.03,32059.11,71663.0,85834.18,50692.14,64849.11
1756458866.990182,0.9417541027069092,baseline,83000.69,31822.27,71469.61,85757.74,50450.48,65526.1
1756458866.9946628,0.946234941482544,baseline,83011.42,31747.7,71388.07,85757.74,50386.64,65859.77
1756458866.9980807,0.949652910232544,baseline,83139.9,31902.46,71490.53,85850.27,50543.01,65563.65
1756458867.0025642,0.9541363716125488,baseline,83254.97,32161.3,71701.08,85953.0,50814.72,64792.25
1756458867.005968,0.9575402736663818,baseline,83120.05,32074.93,71659.51,85849.2,50703.41,64841.33
1756458867.0104506,0.9620227813720703,baseline,83018.13,31844.8,71463.71,85780.54,50475.42,65500.62
1756458867.0138679,0.965440034866333,baseline,83035.3,31781.23,71391.29,85781.88,50410.24,65825.7
1756458867.0183532,0.9699254035949707,baseline,83160.82,31931.43,71501.53,85870.66,50566.08,65529.32
1756458867.0217683,0.9733405113220215,baseline,83266.23,32175.51,71714.49,85967.22,50832.42,64770.79
1756458867.0262475,0.9778196811676025,baseline,83117.1,32068.22,71679.63,85845.45,50703.41,64864.94
1756458867.0307307,0.9823029041290283,baseline,83002.3,31817.44,71484.63,85755.32,50443.24,65560.43
1756458867.0341458,0.9857180118560791,baseline,83021.88,31750.92,71403.9,85756.66,50372.69,65887.13
1756458867.0386293,0.990201473236084,baseline,83148.75,31904.34,71499.11,85856.44,50545.96,65563.38
1756458867.0420418,0.9936139583587646,baseline,83250.94,32153.25,71705.38,85948.44,50814.45,64800.56
1756458867.0465229,0.9980950355529785,baseline,83104.5,32049.45,71668.09,85831.5,50681.42,64901.68
1756458867.0499322,1.0015044212341309,baseline,83007.13,31819.85,71471.75,85762.3,50446.19,65571.16
1756458867.0544434,1.0060155391693115,baseline,83038.78,31773.99,71389.68,85779.73,50403.27,65865.13
1756458867.05786,1.009432077407837,baseline,83164.85,31934.92,71495.89,85878.17,50580.56,65533.61
1756458867.0623446,1.0139167308807373,baseline,83261.41,32173.64,71707.79,85962.93,50839.67,64779.64
1756458867.066822,1.0183942317962646,baseline,83105.57,32054.55,71667.02,85834.99,50695.36,64898.2
1756458867.0702364,1.0218086242675781,baseline,82994.79,31801.08,71470.68,85747.81,50440.28,65589.67
1756458867.0747201,1.026292324066162,baseline,83009.81,31735.63,71388.87,85751.3,50376.45,65897.86
1756458867.078133,1.029705286026001,baseline,83139.9,31900.32,71495.89,85851.35,50547.84,65571.7
1756458867.0826154,1.0341875553131104,baseline,83243.97,32150.03,71709.94,85941.2,50810.7,64830.87
1756458867.0860288,1.0376009941101074,baseline,83099.13,32041.13,71662.46,85822.92,50670.42,64948.62
1756458867.0905373,1.042109489440918,baseline,82999.09,31805.1,71459.95,85751.3,50434.92,65608.98
1756458867.0939546,1.0455267429351807,baseline,83025.37,31756.82,71385.39,85761.76,50383.69,65903.76
1756458867.0984325,1.0500047206878662,baseline,83160.02,31927.14,71495.09,85869.32,50570.1,65557.75
1756458867.101849,1.0534212589263916,baseline,83260.06,32179.27,71703.5,85959.98,50835.11,64799.76
1756458867.1063263,1.0578985214233398,baseline,83107.71,32056.15,71655.49,85839.28,50693.49,64925.29
1756458867.1108084,1.0623805522918701,baseline,83007.13,31816.63,71459.42,85767.13,50460.13,65589.67
1756458867.1142251,1.0657973289489746,baseline,83030.74,31764.06,71388.87,85774.37,50410.24,65879.62
1756458867.1187136,1.0702857971191406,baseline,83166.72,31937.33,71497.24,85879.24,50589.95,65523.96
1756458867.1221244,1.0736966133117676,baseline,83265.7,32184.63,71706.45,85968.56,50852.81,64763.01
1756458867.126606,1.0781781673431396,baseline,83118.44,32068.76,71660.85,85848.4,50707.97,64900.88
1756458867.1300218,1.0815939903259277,baseline,83023.76,31833.53,71465.59,85776.24,50471.93,65566.87
1756458867.134506,1.08607816696167,baseline,83036.9,31772.38,71405.77,85764.71,50407.03,65882.03
1756458867.1379244,1.0894966125488281,baseline,83157.34,31916.68,71521.64,85851.61,50565.81,65558.82
1756458867.142406,1.0939781665802002,baseline,83242.09,32146.55,71726.3,85933.69,50813.92,64827.92
1756458867.1468878,1.0984599590301514,baseline,83082.77,32014.04,71664.07,85811.65,50658.35,64985.1
1756458867.1503036,1.1018757820129395,baseline,82989.97,31783.91,71457.27,85753.71,50431.43,65644.39
