timestamp,phase_time,phase,ch1,ch2,ch3,ch4,ch5,ch6
1756459117.4673374,0.001138448715209961,baseline,92953.03,39257.08,84726.7,98419.11,60233.03,80859.49
1756459117.469767,0.0035681724548339844,baseline,92986.29,39284.17,84728.57,98470.07,60302.23,80827.3
1756459117.4733205,0.007121562957763672,baseline,93082.85,39437.06,84934.84,98589.69,60505.54,80257.6
1756459117.4778373,0.011638402938842773,baseline,93076.68,39507.33,85094.96,98569.31,60559.46,79883.97
1756459117.4812884,0.01508951187133789,baseline,92979.05,39365.44,84918.21,98441.37,60346.76,80369.45
1756459117.4858243,0.019625425338745117,baseline,92948.74,39252.25,84726.7,98415.62,60235.98,80834.01
1756459117.4892428,0.02304387092590332,baseline,92979.05,39275.86,84734.74,98461.48,60297.14,80801.82
1756459117.4937305,0.02753162384033203,baseline,93072.66,39426.6,84946.91,98578.43,60502.32,80238.56
1756459117.4971442,0.030945301055908203,baseline,93059.52,39491.78,85100.33,98551.34,60544.17,79888.53
1756459117.5016313,0.03543233871459961,baseline,92962.69,39350.69,84918.21,98417.23,60315.64,80386.88
1756459117.5050485,0.038849592208862305,baseline,92932.11,39237.5,84724.28,98396.58,60212.38,80842.05
1756459117.5095398,0.04334092140197754,baseline,92968.05,39265.4,84734.21,98449.41,60282.38,80805.57
1756459117.5140169,0.04781794548034668,baseline,93068.9,39424.45,84942.61,98576.82,60495.08,80226.49
1756459117.5174344,0.05123543739318848,baseline,93046.64,39479.71,85093.89,98542.22,60535.85,79893.62
1756459117.5219128,0.05571389198303223,baseline,92947.13,39333.52,84914.18,98408.65,60308.94,80416.12
1756459117.5253325,0.05913352966308594,baseline,92923.26,39226.24,84724.55,98390.94,60208.62,80873.7
1756459117.5298166,0.06361770629882812,baseline,92957.59,39258.42,84735.01,98439.49,60275.95,80828.91
1756459117.5332813,0.06708240509033203,baseline,93049.59,39406.48,84949.32,98555.36,60481.94,80259.48
1756459117.5377738,0.07157492637634277,baseline,93034.57,39466.29,85090.14,98527.74,60515.74,79933.86
1756459117.5411873,0.07498836517333984,baseline,92943.38,39326.55,84902.11,98401.67,60296.33,80451.25
1756459117.545676,0.07947707176208496,baseline,92912.53,39218.73,84722.94,98377.53,60197.09,80916.89
1756459117.549115,0.0829160213470459,baseline,92940.16,39239.92,84746.01,98415.35,60255.56,80899.72
1756459117.5535982,0.08739924430847168,baseline,93049.32,39402.46,84954.68,98555.36,60475.23,80311.51
1756459117.558072,0.0918731689453125,baseline,93023.31,39450.2,85087.72,98521.57,60512.25,80003.06
1756459117.5614893,0.0952904224395752,baseline,92934.26,39316.09,84896.75,98391.75,60286.67,80536.55
1756459117.566003,0.09980416297912598,baseline,92915.21,39217.65,84711.68,98379.68,60197.63,80976.97
1756459117.5694985,0.10329961776733398,baseline,92964.83,39266.47,84728.84,98444.86,60273.0,80898.11
1756459117.5739796,0.10778069496154785,baseline,93065.42,39421.77,84944.22,98574.14,60497.5,80297.56
1756459117.5774,0.11120104789733887,baseline,93047.45,39478.36,85077.8,98539.54,60524.32,79996.08
1756459117.5818863,0.11568737030029297,baseline,92953.3,39338.35,84883.34,98417.76,60309.74,80521.53
1756459117.5853019,0.11910295486450195,baseline,92932.38,39243.94,84699.87,98409.45,60225.52,80941.29
1756459117.5897837,0.12358474731445312,baseline,92966.17,39275.32,84727.77,98452.9,60294.45,80874.24
1756459117.593198,0.1269991397857666,baseline,93062.2,39422.84,84951.47,98572.26,60501.25,80284.69
1756459117.5977013,0.13150238990783691,baseline,93043.96,39476.49,85082.09,98539.0,60523.25,79997.69
1756459117.602171,0.1359720230102539,baseline,92960.54,39346.94,84890.31,98423.4,60309.47,80535.74
1756459117.6055818,0.13938283920288086,baseline,92917.63,39229.72,84717.04,98393.09,60216.4,80982.33
1756459117.6100583,0.1438593864440918,baseline,92940.16,39247.16,84752.45,98422.06,60268.7,80943.17
1756459117.613468,0.14726901054382324,baseline,93046.64,39405.94,84967.83,98550.8,60478.18,80341.82
1756459117.6179304,0.1517314910888672,baseline,93011.24,39442.15,85084.23,98502.52,60491.6,80080.84
1756459117.6213398,0.15514087677001953,baseline,92919.77,39301.61,84882.26,98378.87,60265.22,80629.09
1756459117.6258128,0.15961384773254395,baseline,92901.53,39210.14,84703.9,98378.34,60190.38,81040.54
1756459117.6292248,0.1630258560180664,baseline,92942.03,39250.91,84739.03,98438.69,60276.21,80955.24
1756459117.6337008,0.16750192642211914,baseline,93040.47,39404.33,84964.07,98556.7,60488.11,80353.62
1756459117.6381776,0.17197871208190918,baseline,93005.87,39440.54,85078.07,98504.94,60492.67,80104.45
1756459117.6415868,0.17538785934448242,baseline,92924.06,39306.97,84871.54,98395.5,60276.21,80643.57
1756459117.6460629,0.17986392974853516,baseline,92913.87,39224.09,84701.22,98393.09,60205.94,81043.75
1756459117.6494684,0.18326950073242188,baseline,92956.79,39269.96,84739.84,98449.41,60289.62,80942.64
1756459117.6539385,0.18773961067199707,baseline,93052.01,39423.65,84969.7,98566.9,60501.52,80331.63
1756459117.657347,0.191148042678833,baseline,93019.82,39458.25,85084.5,98513.52,60499.11,80101.23
1756459117.6618168,0.1956179141998291,baseline,92930.77,39307.51,84878.24,98395.77,60277.56,80652.69
1756459117.6663165,0.2001175880432129,baseline,92922.72,39227.58,84708.99,98392.02,60200.58,81048.58
1756459117.669815,0.20361614227294922,baseline,92968.32,39278.0,84748.15,98460.14,60297.67,80932.17
1756459117.6743004,0.20810151100158691,baseline,93059.78,39428.21,84984.72,98578.16,60515.74,80324.39
1756459117.6777215,0.21152257919311523,baseline,93025.72,39458.78,85093.35,98518.35,60501.52,80113.83
1756459117.682201,0.2160019874572754,baseline,92938.82,39313.68,84886.02,98398.72,60279.16,80677.63
1756459117.6856186,0.2194197177886963,baseline,92920.04,39226.77,84716.24,98390.94,60204.87,81069.77
1756459117.690102,0.22390317916870117,baseline,92962.42,39268.08,84756.47,98452.9,60295.26,80947.73
1756459117.6935165,0.22731757164001465,baseline,93063.54,39426.87,84988.75,98574.14,60514.13,80330.02
1756459117.6979964,0.231797456741333,baseline,93024.11,39456.1,85086.65,98510.3,60494.01,80131.8
1756459117.7014117,0.2352128028869629,baseline,92936.94,39308.31,84874.75,98399.79,60276.21,80691.58
1756459117.7058945,0.23969554901123047,baseline,92923.53,39227.04,84704.7,98403.82,60216.94,81055.82
1756459117.7093134,0.24311447143554688,baseline,92975.56,39285.24,84748.69,98470.07,60313.5,80918.5
1756459117.7137964,0.24759745597839355,baseline,93080.17,39448.05,84985.26,98586.74,60527.81,80294.08
1756459117.7182782,0.2520792484283447,baseline,93036.98,39466.29,85074.58,98523.98,60505.01,80099.08
1756459117.7216942,0.2554953098297119,baseline,92953.03,39324.94,84860.81,98416.69,60295.53,80654.83
1756459117.7261722,0.25997328758239746,baseline,92944.18,39248.5,84693.71,98417.76,60233.03,81007.55
1756459117.7295887,0.26338982582092285,baseline,92999.7,39309.38,84738.77,98493.4,60337.9,80840.18
1756459117.7340763,0.26787734031677246,baseline,93089.82,39461.2,84984.46,98601.76,60549.8,80223.27
1756459117.7374928,0.27129387855529785,baseline,93039.13,39470.85,85075.38,98526.39,60514.39,80059.38
1756459117.7419748,0.2757759094238281,baseline,92951.69,39320.11,84865.1,98410.25,60290.43,80631.77
1756459117.7453873,0.2791883945465088,baseline,92933.18,39228.92,84710.07,98409.72,60230.35,80996.55
1756459117.7498689,0.28366994857788086,baseline,92979.05,39281.22,84765.32,98472.21,60323.42,80857.88
1756459117.7543511,0.28815221786499023,baseline,93080.7,39449.93,85011.01,98583.53,60529.41,80247.94
1756459117.7577696,0.29157066345214844,baseline,93020.36,39446.71,85094.16,98506.28,60490.52,80111.96
1756459117.7622507,0.2960517406463623,baseline,92933.18,39296.51,84883.34,98387.19,60261.19,80706.06
1756459117.7656682,0.2994692325592041,baseline,92919.77,39214.7,84727.5,98387.99,60199.77,81072.19
1756459117.770204,0.30400514602661133,baseline,92965.64,39268.35,84782.49,98451.56,60299.55,80931.91
1756459117.7736335,0.3074345588684082,baseline,93063.0,39430.08,85016.37,98568.77,60509.03,80305.61
1756459117.7781098,0.31191086769104004,baseline,93003.99,39431.43,85086.65,98492.6,60472.55,80174.99
1756459117.7815309,0.31533193588256836,baseline,92931.31,39289.8,84871.8,98390.41,60260.93,80761.32
1756459117.786011,0.3198120594024658,baseline,92905.82,39201.29,84723.21,98379.14,60202.45,81125.56
1756459117.7894304,0.32323145866394043,baseline,92942.3,39246.89,84787.05,98426.62,60280.77,80996.01
1756459117.7939143,0.3277153968811035,baseline,93050.93,39419.36,85016.37,98554.56,60498.57,80349.6
1756459117.7983987,0.3321998119354248,baseline,92989.24,39415.87,85084.77,98474.9,60458.34,80242.58
1756459117.8018146,0.3356156349182129,baseline,92911.46,39271.83,84862.15,98374.58,60245.9,80829.18
