timestamp,ch1,ch2,ch3,ch4,ch5,ch6
1756456622.7593741,-325.08,-374.7,-303.89,-366.12,-283.51,-255.35
1756456622.7638495,-325.08,-374.17,-303.63,-365.85,-282.97,-255.88
1756456622.767234,-325.89,-374.17,-303.36,-366.39,-282.97,-256.15
1756456622.7717865,-325.35,-374.17,-303.09,-367.19,-284.05,-256.15
1756456622.775289,-325.62,-374.17,-303.09,-366.93,-283.78,-256.15
1756456622.7797763,-325.62,-374.17,-303.36,-366.39,-282.97,-255.35
1756456622.7835789,-325.62,-374.44,-302.82,-366.12,-283.51,-255.88
1756456622.7877755,-325.62,-374.44,-302.82,-366.12,-282.7,-255.35
1756456622.791167,-325.62,-373.36,-302.82,-366.39,-282.7,-255.35
1756456622.7956362,-325.62,-373.9,-303.89,-367.19,-283.51,-255.35
1756456622.8000848,-325.08,-373.9,-303.09,-366.66,-283.51,-255.61
1756456622.8036225,-325.35,-373.9,-303.63,-367.19,-283.51,-254.81
1756456622.8081715,-325.62,-373.36,-303.63,-366.39,-284.05,-254.81
1756456622.811594,-325.62,-373.9,-302.82,-366.12,-282.7,-255.35
1756456622.8160994,-326.16,-374.17,-302.82,-366.66,-282.7,-255.61
1756456622.8202255,-325.62,-373.9,-302.82,-367.19,-283.51,-255.35
1756456622.8236449,-325.62,-374.17,-302.82,-366.93,-283.51,-255.88
1756456622.8281016,-325.08,-374.44,-302.82,-366.12,-283.24,-255.88
1756456622.8314862,-325.08,-374.17,-302.55,-366.66,-283.51,-255.88
1756456622.8360426,-325.89,-373.1,-303.89,-367.46,-283.24,-256.42
1756456622.8396106,-326.42,-373.36,-304.43,-365.85,-282.44,-256.42
1756456622.844103,-326.42,-373.36,-303.36,-365.85,-282.44,-255.08
1756456622.8473794,-325.89,-373.9,-302.82,-366.39,-282.97,-255.61
1756456622.8520062,-326.16,-373.9,-303.63,-367.46,-282.7,-255.61
1756456622.855662,-326.42,-373.63,-303.09,-366.66,-283.51,-255.61
1756456622.8601196,-325.08,-373.9,-303.09,-366.66,-283.24,-256.15
1756456622.8635056,-324.55,-374.7,-303.63,-366.66,-284.31,-256.15
1756456622.867992,-325.35,-375.24,-302.82,-367.19,-283.51,-255.61
1756456622.8802154,-326.42,-373.9,-304.16,-366.12,-283.24,-255.88
1756456622.8835974,-325.08,-373.9,-303.36,-366.66,-284.31,-255.35
1756456622.8878906,-325.62,-373.9,-302.82,-366.39,-284.05,-255.88
1756456622.8912926,-325.08,-374.44,-303.09,-366.66,-284.31,-256.69
1756456622.895758,-325.35,-374.17,-304.16,-367.46,-282.97,-255.88
1756456622.9081116,-325.89,-373.36,-303.63,-367.46,-284.31,-256.69
1756456622.911527,-325.89,-373.9,-303.89,-366.93,-283.24,-255.88
1756456622.9160306,-325.08,-374.17,-303.63,-366.93,-283.51,-255.61
1756456622.920893,-325.35,-373.9,-302.82,-367.19,-283.51,-256.15
1756456622.9232543,-326.16,-373.63,-302.82,-366.66,-283.78,-256.69
1756456622.927714,-325.89,-373.36,-303.63,-367.19,-283.51,-256.15
1756456622.9395554,-325.62,-373.9,-303.09,-366.66,-283.78,-255.35
1756456622.944071,-325.35,-373.9,-303.63,-366.66,-284.31,-255.35
1756456622.9475238,-324.55,-373.9,-303.36,-366.66,-284.05,-255.61
1756456622.9520097,-325.35,-374.17,-303.36,-366.66,-283.51,-255.88
1756456622.955456,-325.62,-374.17,-303.36,-366.93,-283.51,-255.88
1756456622.9599245,-325.62,-373.9,-303.36,-366.93,-283.24,-255.88
1756456622.9633076,-325.89,-374.17,-304.43,-368.0,-282.97,-255.88
1756456622.9677768,-325.62,-373.9,-304.43,-367.19,-284.31,-255.35
1756456622.9716375,-325.62,-373.9,-304.43,-366.93,-283.51,-255.61
1756456622.9840844,-325.35,-374.17,-303.89,-366.39,-282.7,-255.35
1756456622.9875538,-326.16,-373.9,-304.16,-366.12,-282.97,-255.35
1756456622.992023,-326.42,-373.63,-303.63,-366.12,-282.97,-255.35
1756456622.9954062,-326.42,-373.36,-303.09,-366.66,-282.7,-254.81
1756456622.9999626,-325.62,-373.36,-303.36,-365.05,-282.97,-255.35
1756456623.0036464,-325.62,-374.17,-303.09,-366.12,-283.51,-255.88
1756456623.0082297,-326.42,-374.17,-302.82,-366.93,-284.05,-255.88
1756456623.0160377,-326.42,-374.17,-303.63,-365.85,-282.97,-255.35
1756456623.0194728,-326.16,-373.9,-304.16,-365.85,-282.97,-255.08
1756456623.0239372,-325.62,-374.7,-304.16,-367.19,-283.51,-255.88
1756456623.0273204,-324.82,-374.17,-303.63,-367.46,-282.97,-255.88
1756456623.031872,-325.62,-373.36,-303.89,-366.66,-282.44,-255.61
1756456623.035358,-326.42,-374.17,-303.63,-366.39,-282.7,-254.54
1756456623.0402606,-326.42,-373.63,-303.36,-366.12,-284.05,-255.35
1756456623.056205,-325.62,-374.7,-303.09,-366.93,-282.97,-256.15
1756456623.0721374,-325.89,-374.44,-305.24,-367.19,-284.31,-256.15
1756456623.0799794,-325.62,-373.63,-303.89,-366.39,-283.51,-255.35
1756456623.0833552,-324.82,-374.17,-304.43,-366.39,-283.51,-255.08
1756456623.0878336,-325.35,-374.17,-303.63,-365.85,-282.97,-255.35
1756456623.0922685,-325.89,-374.44,-303.63,-366.93,-283.24,-255.61
1756456623.1079519,-326.42,-373.9,-304.16,-365.59,-283.51,-254.81
1756456623.11133,-326.42,-373.63,-303.09,-365.85,-284.05,-255.35
1756456623.1157684,-327.23,-373.9,-302.82,-366.12,-283.51,-255.88
